epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2669,0.94366,0.71885,1.05663,0.87712,0.76007,0.81816,0.52727,1.19393,1.04198,1.28234,0.000470304,0.000470304,0.000470304
2,66.1483,0.9562,0.71106,1.07328,0.70163,0.67327,0.70328,0.44096,1.49507,1.25119,1.45367,0.000937265,0.000937265,0.000937265
3,98.9442,0.99675,0.75111,1.08234,0.8414,0.61422,0.75211,0.44579,1.39432,1.27255,1.49826,0.0013948,0.0013948,0.0013948
4,126.999,1.0153,0.78492,1.09549,0.68795,0.62119,0.61948,0.39843,1.35659,1.28605,1.44308,0.00138656,0.00138656,0.00138656
5,158.863,1.00569,0.755,1.09515,0.63003,0.74371,0.73099,0.48609,1.27432,1.2488,1.32511,0.00137241,0.00137241,0.00137241
6,188.148,0.97252,0.71791,1.08294,0.82634,0.73834,0.77486,0.50956,1.25042,1.18109,1.3216,0.00135826,0.00135826,0.00135826
7,219.487,0.97567,0.70387,1.07634,0.67753,0.595,0.65995,0.41958,1.32283,1.32282,1.41429,0.00134412,0.00134412,0.00134412
8,248.296,0.97807,0.67995,1.07816,0.79419,0.80159,0.81609,0.4761,1.44289,0.99834,1.45055,0.00132997,0.00132997,0.00132997
9,280.093,0.98583,0.68188,1.07878,0.80055,0.77767,0.79365,0.53601,1.19875,1.08815,1.2463,0.00131582,0.00131582,0.00131582
10,309.398,1.01953,0.7188,1.11106,0.74609,0.76249,0.80617,0.54433,1.16143,1.07791,1.21454,0.00130168,0.00130168,0.00130168
11,340.51,0.95401,0.66742,1.06803,0.8122,0.75397,0.80173,0.50885,1.28963,1.08842,1.32029,0.00128753,0.00128753,0.00128753
12,370.225,0.97997,0.65935,1.07863,0.73736,0.76984,0.78279,0.52304,1.16527,1.16699,1.24084,0.00127338,0.00127338,0.00127338
13,400.926,0.95868,0.63863,1.05616,0.76028,0.76125,0.80564,0.50933,1.2747,1.00872,1.31452,0.00125923,0.00125923,0.00125923
14,429.889,0.94233,0.62836,1.06351,0.80917,0.72478,0.81729,0.56289,1.26681,1.00376,1.33234,0.00124509,0.00124509,0.00124509
15,460.554,0.94568,0.63799,1.06615,0.81435,0.79131,0.8328,0.54766,1.18257,0.98367,1.19678,0.00123094,0.00123094,0.00123094
16,488.31,0.92722,0.61009,1.04454,0.83029,0.79191,0.87315,0.59213,1.11267,0.79619,1.21204,0.00121679,0.00121679,0.00121679
17,518.531,0.92953,0.62591,1.0621,0.73922,0.70635,0.8168,0.52902,1.26778,1.13429,1.34624,0.00120265,0.00120265,0.00120265
18,547.124,0.91934,0.60589,1.04768,0.86909,0.80144,0.83192,0.55591,1.26821,0.86315,1.34764,0.0011885,0.0011885,0.0011885
19,577.985,0.92919,0.60485,1.05425,0.78194,0.68825,0.79939,0.51009,1.34092,0.95791,1.33252,0.00117435,0.00117435,0.00117435
20,606.232,0.9047,0.58133,1.04207,0.78337,0.76202,0.82901,0.51803,1.27278,0.98219,1.32997,0.00116021,0.00116021,0.00116021
21,636.78,0.87099,0.56261,1.02818,0.82817,0.84649,0.86265,0.58182,1.16309,0.79329,1.23987,0.00114606,0.00114606,0.00114606
22,664.686,0.8955,0.56443,1.04219,0.83031,0.79688,0.81044,0.55886,1.23689,0.96653,1.32049,0.00113191,0.00113191,0.00113191
23,695.166,0.89505,0.56537,1.03374,0.83266,0.87572,0.88115,0.58673,1.15035,0.81777,1.2771,0.00111776,0.00111776,0.00111776
24,723.509,0.87828,0.55091,1.03071,0.75291,0.79901,0.78491,0.50266,1.28387,1.02904,1.28981,0.00110362,0.00110362,0.00110362
25,754.176,0.86998,0.54606,1.02273,0.89494,0.81596,0.86606,0.59158,1.22824,0.80485,1.3256,0.00108947,0.00108947,0.00108947
26,782.202,0.86868,0.54008,1.02635,0.8114,0.84127,0.86167,0.56241,1.2072,0.85236,1.29212,0.00107532,0.00107532,0.00107532
27,813.818,0.85858,0.54629,1.01829,0.82828,0.76243,0.80729,0.51728,1.25922,1.02256,1.30078,0.00106118,0.00106118,0.00106118
28,841.5,0.86844,0.54483,1.02587,0.82264,0.73035,0.84049,0.54899,1.26741,0.94968,1.33523,0.00104703,0.00104703,0.00104703
