epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,693.032,1.25599,2.33261,1.25837,0.78558,0.38889,0.59191,0.42614,1.09599,2.62617,1.14275,0.000470304,0.000470304,0.000470304
2,1272.5,1.19312,1.42642,1.18475,0.65951,0.54762,0.61981,0.38938,1.27364,2.45424,1.43906,0.000899779,0.000899779,0.000899779
3,1849.02,1.15757,1.29864,1.16442,0.75955,0.69612,0.72143,0.45399,1.27372,1.84058,1.39352,0.0012821,0.0012821,0.0012821
4,2415.21,1.15039,1.16545,1.16023,0.64137,0.62212,0.624,0.4248,1.30421,1.97957,1.33917,0.00121679,0.00121679,0.00121679
5,3053.24,1.11449,1.05126,1.14716,0.79835,0.58037,0.75685,0.48474,1.2765,1.49421,1.29506,0.00114606,0.00114606,0.00114606
6,3632.11,1.07661,0.97402,1.12316,0.80989,0.71292,0.74085,0.47753,1.24778,1.42972,1.36273,0.00107532,0.00107532,0.00107532
7,4210.28,1.07202,0.90427,1.12342,0.82059,0.6746,0.76859,0.51344,1.15092,1.35309,1.23036,0.00100459,0.00100459,0.00100459
8,4818.57,1.01068,0.81571,1.08995,0.80699,0.80435,0.81585,0.53023,1.25583,1.18064,1.27949,0.000933851,0.000933851,0.000933851
9,5419.66,1.0043,0.78453,1.08307,0.84487,0.63899,0.77007,0.5122,1.14142,1.16659,1.2671,0.000863116,0.000863116,0.000863116
10,5990.34,0.97447,0.73265,1.07064,0.81728,0.75553,0.82176,0.5691,1.18836,1.04223,1.28045,0.00079238,0.00079238,0.00079238
11,6578.54,0.93155,0.67521,1.05363,0.87454,0.76694,0.78873,0.55888,1.12756,0.9712,1.22012,0.000721645,0.000721645,0.000721645
12,7135.83,0.90886,0.63532,1.04349,0.85066,0.78091,0.81758,0.5497,1.121,1.02871,1.19361,0.000650909,0.000650909,0.000650909
13,7702.08,0.88022,0.60251,1.02431,0.79906,0.83922,0.81417,0.54964,1.11464,1.06318,1.21223,0.000580174,0.000580174,0.000580174
14,8251.47,0.85786,0.57044,1.01263,0.82283,0.8126,0.80948,0.56418,1.16064,0.90072,1.26755,0.000509438,0.000509438,0.000509438
15,8833.29,0.8413,0.54197,1.00265,0.87291,0.814,0.84834,0.58302,1.13315,0.94551,1.22752,0.000438703,0.000438703,0.000438703
16,9400.12,0.821,0.51632,0.99455,0.91918,0.83333,0.84882,0.59698,1.15043,0.91385,1.22586,0.000367967,0.000367967,0.000367967
17,9969.21,0.80678,0.50685,0.98501,0.93091,0.872,0.89124,0.60507,1.06494,0.8741,1.18708,0.000297232,0.000297232,0.000297232
18,10527.9,0.78225,0.4848,0.97504,0.89778,0.83333,0.85782,0.60689,1.09015,0.85556,1.17609,0.000226497,0.000226497,0.000226497
19,11096.4,0.76145,0.46163,0.96359,0.91571,0.84062,0.86201,0.62997,1.07356,0.79371,1.18468,0.000155761,0.000155761,0.000155761
20,11696,0.74035,0.458,0.95073,0.91507,0.84526,0.86004,0.62409,1.04587,0.81815,1.14403,8.50255e-05,8.50255e-05,8.50255e-05
